2021-04-07 21:52:47,950 DEBUG   telegram.ext.dispatcher Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x0000025C4A28F040>
2021-04-07 21:52:52,625 DEBUG   telegram.bot Entering: get_me
2021-04-07 21:52:52,625 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool Starting new HTTPS connection (2): api.telegram.org
2021-04-07 21:52:52,929 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "GET /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getMe HTTP/1.1" 200 193
2021-04-07 21:52:52,929 DEBUG   telegram.bot {'id': 1753864794, 'first_name': 'The EU Quiz', 'is_bot': True, 'username': 'EUQuizBot'}
2021-04-07 21:52:52,929 DEBUG   telegram.bot Exiting: get_me
2021-04-07 21:52:52,930 DEBUG   root Quiz bot entered by user: 445900772 @Verssania "Лина Францева"
2021-04-07 21:52:52,930 DEBUG   telegram.bot Entering: send_message
2021-04-07 21:52:53,050 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/sendMessage HTTP/1.1" 200 621
2021-04-07 21:52:53,050 DEBUG   telegram.bot {'message_id': 575, 'date': 1617821572, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'Давайте начнем тест. У вас будет 5 минут на 2 вопросов. Готовы?', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 1753864794, 'first_name': 'The EU Quiz', 'is_bot': True, 'username': 'EUQuizBot'}}
2021-04-07 21:52:53,051 DEBUG   telegram.bot Exiting: send_message
2021-04-07 21:53:02,696 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:53:02,696 DEBUG   telegram.bot No new updates found.
2021-04-07 21:53:02,696 DEBUG   telegram.bot []
2021-04-07 21:53:02,697 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:02,697 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:07,206 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 518
2021-04-07 21:53:07,206 DEBUG   telegram.bot Getting updates: [297234472]
2021-04-07 21:53:07,207 DEBUG   telegram.bot [<telegram.update.Update object at 0x0000025C4A2A6820>]
2021-04-07 21:53:07,207 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:07,207 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:07,208 DEBUG   telegram.ext.dispatcher Processing Update: {'update_id': 297234472, 'message': {'message_id': 576, 'date': 1617821586, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'Начать тест', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 445900772, 'first_name': 'Лина', 'is_bot': False, 'last_name': 'Францева', 'username': 'Verssania', 'language_code': 'ru'}}}
2021-04-07 21:53:07,209 DEBUG   root Message received from 445900772 @Verssania: Начать тест
2021-04-07 21:53:07,210 INFO    root Quiz started by 445900772 @Verssania
2021-04-07 21:53:07,210 DEBUG   telegram.bot Entering: send_message
2021-04-07 21:53:07,306 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/sendMessage HTTP/1.1" 200 412
2021-04-07 21:53:07,307 DEBUG   telegram.bot {'message_id': 577, 'date': 1617821586, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'Тест начат в 2021-04-07 21:53:07.210947', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 1753864794, 'first_name': 'The EU Quiz', 'is_bot': True, 'username': 'EUQuizBot'}}
2021-04-07 21:53:07,307 DEBUG   telegram.bot Exiting: send_message
2021-04-07 21:53:07,308 DEBUG   telegram.bot Entering: send_message
2021-04-07 21:53:07,412 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/sendMessage HTTP/1.1" 200 731
2021-04-07 21:53:07,412 DEBUG   telegram.bot {'message_id': 578, 'date': 1617821587, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'The founding countries decided to share control of their coal and steel industries so that they could not secretly arm themselves against each other. After this, they set about expanding cooperation to other economic sectors. What was the organisation they created in 1957 called?\nA. The European Coal and Steel Community.\nB. The European Economic and Social Committee.\nC. The European Economic Community.', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 1753864794, 'first_name': 'The EU Quiz', 'is_bot': True, 'username': 'EUQuizBot'}}
2021-04-07 21:53:07,413 DEBUG   telegram.bot Exiting: send_message
2021-04-07 21:53:10,577 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 458
2021-04-07 21:53:10,578 DEBUG   telegram.bot Getting updates: [297234473]
2021-04-07 21:53:10,578 DEBUG   telegram.bot [<telegram.update.Update object at 0x0000025C4A2A6B50>]
2021-04-07 21:53:10,578 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:10,578 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:10,579 DEBUG   telegram.ext.dispatcher Processing Update: {'update_id': 297234473, 'message': {'message_id': 579, 'date': 1617821590, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'A', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 445900772, 'first_name': 'Лина', 'is_bot': False, 'last_name': 'Францева', 'username': 'Verssania', 'language_code': 'ru'}}}
2021-04-07 21:53:10,579 DEBUG   root Message received from 445900772 @Verssania: A
2021-04-07 21:53:10,579 DEBUG   telegram.bot Entering: send_message
2021-04-07 21:53:10,706 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/sendMessage HTTP/1.1" 200 775
2021-04-07 21:53:10,707 DEBUG   telegram.bot {'message_id': 580, 'date': 1617821590, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'Following the two devastating world wars in the 20th century that killed millions of people, several European countries decided to work together to ensure that there would be no more bloodshed. Who were these founding members of the EU?\nA. Belgium, France, Germany, Italy, Luxembourg, the Netherlands and Spain.\nB. Belgium, France, Germany, Italy, Luxembourg and the Netherlands.\nC. Belgium, France, Germany, Luxembourg, the Netherlands and Denmark.', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 1753864794, 'first_name': 'The EU Quiz', 'is_bot': True, 'username': 'EUQuizBot'}}
2021-04-07 21:53:10,707 DEBUG   telegram.bot Exiting: send_message
2021-04-07 21:53:12,556 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 458
2021-04-07 21:53:12,557 DEBUG   telegram.bot Getting updates: [297234474]
2021-04-07 21:53:12,557 DEBUG   telegram.bot [<telegram.update.Update object at 0x0000025C4A2A67F0>]
2021-04-07 21:53:12,557 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:12,557 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:12,558 DEBUG   telegram.ext.dispatcher Processing Update: {'update_id': 297234474, 'message': {'message_id': 581, 'date': 1617821592, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'B', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 445900772, 'first_name': 'Лина', 'is_bot': False, 'last_name': 'Францева', 'username': 'Verssania', 'language_code': 'ru'}}}
2021-04-07 21:53:12,559 DEBUG   root Message received from 445900772 @Verssania: B
2021-04-07 21:53:12,559 DEBUG   telegram.bot Entering: send_message
2021-04-07 21:53:12,724 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/sendMessage HTTP/1.1" 200 391
2021-04-07 21:53:12,725 DEBUG   telegram.bot {'message_id': 582, 'date': 1617821592, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': 'Тест пройден!', 'entities': [], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 1753864794, 'first_name': 'The EU Quiz', 'is_bot': True, 'username': 'EUQuizBot'}}
2021-04-07 21:53:12,725 DEBUG   telegram.bot Exiting: send_message
2021-04-07 21:53:22,640 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:53:22,641 DEBUG   telegram.bot No new updates found.
2021-04-07 21:53:22,641 DEBUG   telegram.bot []
2021-04-07 21:53:22,641 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:22,641 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:32,711 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:53:32,711 DEBUG   telegram.bot No new updates found.
2021-04-07 21:53:32,712 DEBUG   telegram.bot []
2021-04-07 21:53:32,712 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:32,712 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:42,782 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:53:42,783 DEBUG   telegram.bot No new updates found.
2021-04-07 21:53:42,783 DEBUG   telegram.bot []
2021-04-07 21:53:42,783 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:42,783 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:53:52,854 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:53:52,854 DEBUG   telegram.bot No new updates found.
2021-04-07 21:53:52,855 DEBUG   telegram.bot []
2021-04-07 21:53:52,855 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:53:52,855 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:54:02,924 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:54:02,925 DEBUG   telegram.bot No new updates found.
2021-04-07 21:54:02,925 DEBUG   telegram.bot []
2021-04-07 21:54:02,925 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:54:02,925 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:54:12,997 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:54:12,997 DEBUG   telegram.bot No new updates found.
2021-04-07 21:54:12,998 DEBUG   telegram.bot []
2021-04-07 21:54:12,998 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:54:12,998 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:54:23,068 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:54:23,068 DEBUG   telegram.bot No new updates found.
2021-04-07 21:54:23,069 DEBUG   telegram.bot []
2021-04-07 21:54:23,069 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:54:23,069 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:54:33,141 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:54:33,141 DEBUG   telegram.bot No new updates found.
2021-04-07 21:54:33,141 DEBUG   telegram.bot []
2021-04-07 21:54:33,141 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:54:33,142 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:54:43,220 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:54:43,220 DEBUG   telegram.bot No new updates found.
2021-04-07 21:54:43,220 DEBUG   telegram.bot []
2021-04-07 21:54:43,221 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:54:43,221 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:54:53,290 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:54:53,291 DEBUG   telegram.bot No new updates found.
2021-04-07 21:54:53,291 DEBUG   telegram.bot []
2021-04-07 21:54:53,291 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:54:53,291 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:55:03,379 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:55:03,379 DEBUG   telegram.bot No new updates found.
2021-04-07 21:55:03,379 DEBUG   telegram.bot []
2021-04-07 21:55:03,379 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:55:03,379 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:55:13,458 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:55:13,459 DEBUG   telegram.bot No new updates found.
2021-04-07 21:55:13,459 DEBUG   telegram.bot []
2021-04-07 21:55:13,459 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:55:13,459 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:55:23,528 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:55:23,528 DEBUG   telegram.bot No new updates found.
2021-04-07 21:55:23,530 DEBUG   telegram.bot []
2021-04-07 21:55:23,530 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:55:23,530 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:55:33,598 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:55:33,598 DEBUG   telegram.bot No new updates found.
2021-04-07 21:55:33,599 DEBUG   telegram.bot []
2021-04-07 21:55:33,599 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:55:33,599 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:55:43,668 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:55:43,669 DEBUG   telegram.bot No new updates found.
2021-04-07 21:55:43,669 DEBUG   telegram.bot []
2021-04-07 21:55:43,669 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:55:43,669 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:55:53,738 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:55:53,739 DEBUG   telegram.bot No new updates found.
2021-04-07 21:55:53,739 DEBUG   telegram.bot []
2021-04-07 21:55:53,740 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:55:53,740 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:56:03,809 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:56:03,810 DEBUG   telegram.bot No new updates found.
2021-04-07 21:56:03,810 DEBUG   telegram.bot []
2021-04-07 21:56:03,810 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:56:03,810 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:56:13,884 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:56:13,885 DEBUG   telegram.bot No new updates found.
2021-04-07 21:56:13,885 DEBUG   telegram.bot []
2021-04-07 21:56:13,885 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:56:13,885 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:56:23,954 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:56:23,955 DEBUG   telegram.bot No new updates found.
2021-04-07 21:56:23,955 DEBUG   telegram.bot []
2021-04-07 21:56:23,955 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:56:23,955 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:56:34,025 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:56:34,025 DEBUG   telegram.bot No new updates found.
2021-04-07 21:56:34,026 DEBUG   telegram.bot []
2021-04-07 21:56:34,026 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:56:34,026 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:56:44,097 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:56:44,098 DEBUG   telegram.bot No new updates found.
2021-04-07 21:56:44,098 DEBUG   telegram.bot []
2021-04-07 21:56:44,098 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:56:44,098 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:56:54,167 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:56:54,168 DEBUG   telegram.bot No new updates found.
2021-04-07 21:56:54,168 DEBUG   telegram.bot []
2021-04-07 21:56:54,168 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:56:54,168 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:57:04,238 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:57:04,239 DEBUG   telegram.bot No new updates found.
2021-04-07 21:57:04,239 DEBUG   telegram.bot []
2021-04-07 21:57:04,239 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:57:04,239 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:57:14,314 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:57:14,314 DEBUG   telegram.bot No new updates found.
2021-04-07 21:57:14,315 DEBUG   telegram.bot []
2021-04-07 21:57:14,315 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:57:14,315 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:57:24,384 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:57:24,385 DEBUG   telegram.bot No new updates found.
2021-04-07 21:57:24,385 DEBUG   telegram.bot []
2021-04-07 21:57:24,385 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:57:24,385 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:57:34,456 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:57:34,456 DEBUG   telegram.bot No new updates found.
2021-04-07 21:57:34,457 DEBUG   telegram.bot []
2021-04-07 21:57:34,457 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:57:34,457 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:57:44,527 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
2021-04-07 21:57:44,528 DEBUG   telegram.bot No new updates found.
2021-04-07 21:57:44,528 DEBUG   telegram.bot []
2021-04-07 21:57:44,528 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:57:44,528 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:57:54,601 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 23
